"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Palatka, FL","37260",2013,365,363,2,0,0,0,0,55,23,14,0,0,0,32,0,333
"Palm Bay-Melbourne-Titusville, FL","37340",2013,365,327,38,0,0,0,0,93,51,37,0,0,290,0,75,0
"Panama City, FL","37460",2013,364,310,52,2,0,0,0,144,55,38,0,0,199,0,165,0
"Parkersburg-Vienna, WV","37620",2013,364,320,42,2,0,0,0,112,52,34,0,0,184,111,69,0
"Payson, AZ","37740",2013,365,64,191,90,19,1,0,276,131,77,0,0,85,239,0,41
"Pensacola-Ferry Pass-Brent, FL","37860",2013,365,278,86,1,0,0,0,101,58,42,0,0,187,4,174,0
"Peoria, IL","37900",2013,365,199,140,21,5,0,0,183,89,49,0,0,135,78,152,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2013,365,103,243,19,0,0,0,143,87,57,0,4,103,0,256,2
"Phoenix-Mesa-Scottsdale, AZ","38060",2013,365,30,230,77,20,5,3,902,138,80,0,14,123,0,67,161
"Pittsburgh, PA","38300",2013,365,116,225,23,1,0,0,190,87,58,0,1,99,25,240,0
"Pittsfield, MA","38340",2013,364,227,133,4,0,0,0,119,69,45,0,0,84,0,280,0
"Platteville, WI","38420",2013,356,287,69,0,0,0,0,76,59,32,0,0,0,0,356,0
"Pocatello, ID","38540",2013,365,288,74,2,1,0,0,200,61,35,0,0,0,109,187,69
"Ponca City, OK","38620",2013,365,218,143,4,0,0,0,115,71,46,0,0,162,7,196,0
"Ponce, PR","38660",2013,362,345,17,0,0,0,0,61,45,26,46,0,0,0,47,269
"Port Angeles, WA","38820",2013,365,323,42,0,0,0,0,83,53,35,0,0,235,0,130,0
"Port St. Lucie, FL","38940",2013,352,323,29,0,0,0,0,76,46,29,0,0,0,0,352,0
"Portland-South Portland, ME","38860",2013,365,280,78,7,0,0,0,147,63,41,0,14,215,0,134,2
"Portland-Vancouver-Hillsboro, OR-WA","38900",2013,365,234,114,13,4,0,0,157,76,41,0,4,174,0,187,0
"Portsmouth, OH","39020",2013,365,342,23,0,0,0,0,75,48,19,0,0,0,19,116,230
"Prescott, AZ","39140",2013,288,226,61,1,0,0,0,101,64,44,0,0,245,0,41,2
"Price, UT","39220",2013,362,252,108,2,0,0,0,115,67,44,0,35,327,0,0,0
"Prineville, OR","39260",2013,365,248,104,11,2,0,0,151,80,35,0,0,0,0,365,0
"Providence-Warwick, RI-MA","39300",2013,365,222,130,12,1,0,0,169,73,47,0,2,168,10,184,1
"Provo-Orem, UT","39340",2013,365,187,137,25,16,0,0,189,105,50,0,61,202,0,99,3
"Pueblo, CO","39380",2013,127,117,10,0,0,0,0,91,43,22,0,0,0,0,100,27
"Pullman, WA","39420",2013,365,334,31,0,0,0,0,72,48,23,0,0,0,0,365,0
"Quincy, IL-MO","39500",2013,303,282,21,0,0,0,0,97,48,37,0,0,303,0,0,0
"Racine, WI","39540",2013,186,156,30,0,0,0,0,93,58,38,0,0,186,0,0,0
"Raleigh, NC","39580",2013,365,246,119,0,0,0,0,97,64,44,0,0,140,0,225,0
"Rapid City, SD","39660",2013,365,236,129,0,0,0,0,94,64,46,0,0,226,0,45,94
"Reading, PA","39740",2013,365,204,149,12,0,0,0,141,77,48,0,0,157,0,208,0
"Red Bluff, CA","39780",2013,365,254,100,11,0,0,0,136,74,43,0,0,297,0,67,1
"Red Wing, MN","39860",2013,213,190,23,0,0,0,0,87,51,40,0,0,213,0,0,0
"Redding, CA","39820",2013,365,297,66,2,0,0,0,105,64,42,0,0,351,0,13,1
"Reno, NV","39900",2013,365,151,179,17,4,0,14,895,99,54,0,1,203,0,107,54
"Richmond, IN","39980",2013,363,363,0,0,0,0,0,39,11,6,0,0,0,363,0,0
"Richmond, VA","40060",2013,365,284,80,1,0,0,0,150,61,41,0,25,199,5,136,0
"Richmond-Berea, KY","40080",2013,114,96,18,0,0,0,0,68,53,33,0,0,0,0,114,0
"Riverside-San Bernardino-Ontario, CA","40140",2013,365,24,183,96,57,3,2,455,164,97,0,7,201,0,113,44
"Riverton, WY","40180",2013,365,268,97,0,0,0,0,100,61,45,0,0,347,0,17,1
"Roanoke, VA","40220",2013,364,312,52,0,0,0,0,80,54,38,0,29,156,0,177,2
"Rochester, MN","40340",2013,365,282,83,0,0,0,0,100,61,39,0,0,169,0,196,0
"Rochester, NY","40380",2013,365,296,69,0,0,0,0,93,58,38,0,0,251,0,114,0
"Rock Springs, WY","40540",2013,365,252,109,3,0,0,1,310,67,45,0,4,309,3,4,45
"Rockford, IL","40420",2013,363,340,23,0,0,0,0,84,48,31,0,0,363,0,0,0
"Rockland, ME","40500",2013,208,188,15,5,0,0,0,140,50,38,0,0,208,0,0,0
"Rocky Mount, NC","40580",2013,361,303,57,1,0,0,0,101,54,36,0,0,146,0,215,0
"Rome, GA","40660",2013,365,166,198,1,0,0,0,106,70,52,0,0,0,3,362,0
"Roseburg, OR","40700",2013,365,302,63,0,0,0,0,92,59,30,0,0,0,0,365,0
"Roswell, NM","40740",2013,110,105,4,1,0,0,0,121,38,22,0,0,0,0,110,0
"Ruidoso, NM","40760",2013,114,112,2,0,0,0,0,52,34,15,0,0,0,0,114,0
"Rutland, VT","40860",2013,361,271,87,3,0,0,0,128,68,34,0,13,0,1,347,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2013,365,108,207,44,6,0,0,161,110,64,0,2,218,0,142,3
"Salem, OH","41400",2013,351,350,1,0,0,0,0,57,21,6,0,0,0,292,0,59
"Salem, OR","41420",2013,361,279,77,5,0,0,0,123,64,33,0,0,135,0,226,0
"Salinas, CA","41500",2013,365,319,46,0,0,0,0,96,52,38,0,4,219,0,111,31
"Salisbury, MD-DE","41540",2013,365,290,71,4,0,0,0,136,59,40,0,0,282,0,83,0
"Salt Lake City, UT","41620",2013,365,185,130,42,8,0,0,160,122,50,0,39,220,3,100,3
"San Antonio-New Braunfels, TX","41700",2013,365,221,127,15,2,0,0,154,77,47,0,2,229,1,133,0
"San Diego-Carlsbad, CA","41740",2013,365,56,272,35,1,0,1,617,101,66,8,20,152,0,157,28
"San Francisco-Oakland-Hayward, CA","41860",2013,365,160,196,9,0,0,0,133,80,53,0,17,62,0,286,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2013,365,189,164,11,1,0,0,152,84,50,0,0,191,0,173,1
"San Juan-Carolina-Caguas, PR","41980",2013,365,329,26,5,5,0,0,200,50,29,34,0,30,26,37,238
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2013,365,103,247,15,0,0,0,136,90,59,0,0,174,3,155,33
"Sandpoint, ID","41760",2013,273,271,2,0,0,0,0,79,21,12,0,0,0,0,0,273
"Sanford, NC","41820",2013,56,56,0,0,0,0,0,41,37,31,0,0,56,0,0,0
"Santa Cruz-Watsonville, CA","42100",2013,365,280,63,22,0,0,0,149,83,38,0,0,242,0,123,0
"Santa Fe, NM","42140",2013,365,267,98,0,0,0,0,100,67,44,0,0,351,0,14,0
"Santa Maria-Santa Barbara, CA","42200",2013,365,237,124,4,0,0,0,122,64,46,0,2,254,4,101,4
"Santa Rosa, CA","42220",2013,365,291,74,0,0,0,0,85,61,36,0,3,218,0,142,2
"Sault Ste. Marie, MI","42300",2013,284,258,26,0,0,0,0,84,49,30,0,0,141,0,143,0
"Savannah, GA","42340",2013,365,244,111,10,0,0,0,131,69,42,0,0,87,89,189,0
"Sayre, PA","42380",2013,306,304,2,0,0,0,0,64,44,31,0,5,301,0,0,0
