STNAME,CTYNAME,pop1900,pop1910,pop1920,pop1930,pop1940,pop1950,pop1960,pop1970,pop1980,pop1990,fips,name,STATE_x,COUNTY_x,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,STATE_y,COUNTY_y,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
Georgia,Georgia,2216331,2609121,2895832,2908506,3123723,3444578,3943116,4589575,5463105,6478216,13000.0,GA Georgia,13,0,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,13,0,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423
Hawaii,Hawaii,154001,191874,255881,368300,422770,499794,632772,768561,964691,1108229,15000.0,HI Hawaii,15,0,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,15,0,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872
Idaho,Idaho,161772,325594,431866,445032,524873,588637,667191,712567,943935,1006749,16000.0,ID Idaho,16,0,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,16,0,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065
Illinois,Illinois,4821550,5638591,6485280,7630654,7897241,8712176,10081158,11113976,11426518,11430602,17000.0,IL Illinois,17,0,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,17,0,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
Indiana,Indiana,2516462,2700876,2930390,3238503,3427796,3934224,4662498,5193669,5490224,5544159,18000.0,IN Indiana,18,0,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,18,0,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219
Iowa,Iowa,2231853,2224771,2404021,2470939,2538268,2621073,2757537,2824376,2913808,2776755,19000.0,IA Iowa,19,0,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,19,0,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
Kansas,Kansas,1470495,1690949,1769257,1880999,1801028,1905299,2178611,2246578,2363679,2477574,20000.0,KS Kansas,20,0,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,20,0,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314
Kentucky,Kentucky,2147174,2289905,2416630,2614589,2845627,2944806,3038156,3218706,3660777,3685296,21000.0,KY Kentucky,21,0,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,21,0,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673
Louisiana,Louisiana,1381625,1656388,1798509,2101593,2363880,2683516,3257022,3641306,4205900,4219973,22000.0,LA Louisiana,22,0,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,22,0,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794
Maine,Maine,694466,742371,768014,797423,847226,913774,969265,992048,1124660,1227928,23000.0,ME Maine,23,0,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,23,0,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212
Maryland,Maryland,1188044,1295346,1449661,1631526,1821244,2343001,3100689,3922399,4216975,4781468,24000.0,MD Maryland,24,0,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,24,0,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680
Massachusetts,Massachusetts,2805346,3366416,3852356,4249614,4316721,4690514,5148578,5689170,5737037,6016425,25000.0,MA Massachusetts,25,0,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,25,0,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503
Michigan,Michigan,2420982,2810173,3668412,4842325,5256106,6371766,7823194,8875083,9262078,9295297,26000.0,MI Michigan,26,0,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,26,0,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857
Minnesota,Minnesota,1751394,2075708,2387125,2563953,2792300,2982483,3413864,3804971,4075970,4375099,27000.0,MN Minnesota,27,0,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,27,0,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632
Mississippi,Mississippi,1551270,1797114,1790618,2009821,2183796,2178914,2178141,2216912,2520638,2573216,28000.0,MS Mississippi,28,0,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,28,0,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149
Missouri,Missouri,3106665,3293335,3404055,3629367,3784664,3954653,4319813,4676501,4916686,5117073,29000.0,MO Missouri,29,0,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,29,0,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428
Montana,Montana,243329,376053,548889,537606,559456,591024,674767,694409,786690,799065,30000.0,MT Montana,30,0,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,30,0,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778
Nebraska,Nebraska,1066300,1192214,1296372,1377963,1315834,1325510,1411330,1483493,1569825,1578385,31000.0,NE Nebraska,31,0,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,31,0,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408
